date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2025-03-03,10,7.61,7.4,4.8,,,97,91.9,87,77,7.6,6.4,6,4.3,14,6.71,7,0,,,101.91,101.84,101.78,101.65,101.67,101.6,101.54,101.41,48300,33533.3,36200,24100,2.1,1.8,1.8,1.4,10.6,0,2.4,0.4,0,0,0,0,,6:51:00,1741013460,6.85,18:00:00,1741053600,18,11.15,1,1,11,11,5,6,,,,,,8,7.2,5.5,3,,,,
2025-03-02,11.4,8.16,7.75,4.1,,,97,89.6,86.5,76,7.5,6.5,6.2,4.9,14,6.21,7,0,,,101.65,101.4,101.39,101.12,101.41,101.16,101.15,100.89,48300,42933.3,40250,32200,2.1,1.9,1.8,1.6,10.2,0,2.8,0.8,0,0,0,0,,6:53:00,1740927180,6.88,17:59:00,1740967140,17.98,11.1,1,2,9,9,5,5,,,,,,8,7.2,7,6,,,,
2025-03-01,12.7,7.56,7.5,2.3,,,97,86.6,80,63,7.3,5.3,5,2.8,11,5.62,5.5,0,,,101.43,101.15,101.17,100.92,101.19,100.91,100.94,100.68,48300,44275,40250,32200,2.5,1.9,2,1.4,10.5,0,2.5,0.5,0,0,0,0,,6:55:00,1740840900,6.92,17:57:00,1740880620,17.95,11.03,2,2,11,11,7,7,,,,,,7,5.1,4.5,2,,,,
2025-02-28,14.2,8.72,9.25,4.3,,,97,87.2,80.5,64,8.2,6.6,6.3,4.4,13,6.54,6.5,0,,,102.26,101.93,101.88,101.49,102.02,101.69,101.63,101.25,56300,47291.7,44250,32200,2.1,1.9,1.8,1.6,8.8,0,4.2,2.2,0,0,0,0,,6:57:00,1740754620,6.95,17:56:00,1740794160,17.93,10.98,3,3,15,15,4,5,,,,,,8,4.8,4.5,1,,,,
2025-02-27,13.4,8.32,7.8,2.2,,,96,82.6,78,60,7.8,5.4,5.1,2.4,14,7.29,7,0,,,102.25,102.13,102.08,101.91,102.01,101.89,101.84,101.67,48300,48300,48300,48300,2.4,1.9,1.8,1.3,10.2,0,2.8,0.8,0,0,0,0,,6:59:00,1740668340,6.98,17:54:00,1740707640,17.9,10.92,1,2,11,11,4,7,,,,,,8,5.8,4.5,1,,,,
2025-02-26,11.1,7.48,7.35,3.6,,,96,84.2,81,66,6.1,4.9,4.5,2.9,17,9.12,8.5,0,31,28,102.56,102.14,102.17,101.79,102.32,101.9,101.94,101.55,48300,47629.2,40250,32200,2.5,2.1,2.1,1.8,10.7,0,2.4,0.4,0,0,0,0,,7:01:00,1740582060,7.02,17:53:00,1740621180,17.88,10.87,2,2,11,11,6,6,,,,,,8,5.8,4,0,,,,
2025-02-25,11.5,8.13,9.05,6.6,,,96,82.1,81,66,7.2,5.2,4.5,1.8,40,18.96,23.5,7,75,15,102.54,101.31,101.12,99.71,102.3,101.07,100.89,99.48,48300,38841.7,26550,4800,2.7,2.5,2.5,2.3,8.9,0,4,2,0,8.1,8.1,0,,7:03:00,1740495780,7.05,17:51:00,1740534660,17.85,10.8,1,1,11,11,6,6,,,,,,8,5.9,4.5,1,,,,
2025-02-24,9.5,8.32,7.6,5.7,,,96,84.4,82.5,69,7.2,5.8,5.7,4.2,44,18.75,22,0,73,13,101.54,100.6,100.62,99.7,101.3,100.37,100.39,99.47,48300,24275,30600,12900,2.9,2.4,2.5,2,10.4,0,2.6,0.6,0,0.7,0.7,0,,7:05:00,1740409500,7.08,17:49:00,1740448140,17.82,10.73,2,2,9,10,7,8,,,,,,8,6.8,4.5,1,,,,
2025-02-23,11.8,8.89,9,6.2,,,97,85.8,82.5,68,8.3,6.6,6.3,4.4,40,12.88,20,0,65,22,101.4,100.93,100.92,100.43,101.17,100.7,100.68,100.2,48300,30491.7,26150,4000,2.9,2.2,2.3,1.7,9,0,4,2,0,10.8,10.8,0,,7:07:00,1740323220,7.12,17:48:00,1740361680,17.8,10.68,1,2,11,11,5,5,,,,,,8,6.8,5.5,3,,,,
2025-02-22,12.7,9.49,9.5,6.3,,,97,88.1,81.5,66,9,7.6,7.2,5.3,33,18.92,19,5,50,22,101.59,101.02,101.04,100.49,101.35,100.79,100.81,100.26,48300,31187.5,26550,4800,2.2,1.8,1.8,1.5,8.5,0,4.5,2.5,0,14.3,14.3,0,,7:09:00,1740236940,7.15,17:46:00,1740275160,17.77,10.62,1,1,11,11,7,7,,,,,,8,7.8,7.5,7,,,,
2025-02-21,8.7,7.13,7.1,5.5,,,97,93.4,91,85,6.9,6.1,5.8,4.6,21,8.12,10.5,0,29,13,102.47,101.89,101.97,101.47,102.23,101.65,101.73,101.23,48300,29850,28200,8100,2.1,1.9,1.9,1.7,10.9,0,2.1,0.1,0,12.6,12.6,0,,7:10:00,1740150600,7.17,17:45:00,1740188700,17.75,10.58,1,1,8,9,7,7,,,,,,8,8,8,8,,,,
2025-02-20,9,7.34,7.4,5.8,,,97,82.2,83.5,70,6.1,4.5,4,1.8,25,12.25,12.5,0,51,22,102.84,102.65,102.55,102.27,102.6,102.41,102.31,102.03,48300,47629.2,40250,32200,3.4,2.4,2.2,1,10.6,0,2.4,0.4,0,0,0,0,,7:12:00,1740064320,7.2,17:43:00,1740102180,17.72,10.52,1,1,10,10,6,6,,,,,,8,7.2,5,2,,,,
2025-02-19,12.3,8.55,9.6,6.9,,,88,78.6,78.5,69,6.5,5,5,3.4,37,21.75,22.5,8,67,13,102.19,101.15,101.33,100.46,101.95,100.91,101.09,100.23,48300,40237.5,32200,16100,2.6,2.2,2.1,1.7,8.4,0,4.6,2.6,0,6.3,6.3,0,,7:14:00,1739978040,7.23,17:42:00,1740015720,17.7,10.47,,,9,10,5,6,,,,,,8,7.2,4.5,1,,,,
2025-02-18,7.8,6.06,6,4.2,,,97,94,90.5,84,6.5,5.2,5.2,3.9,19,8.79,9.5,0,,,102.13,101.89,101.7,101.28,101.89,101.65,101.47,101.04,48300,21012.5,25750,3200,1.9,1.6,1.6,1.4,12,0,1,0,0,0.5,0.5,0,,7:16:00,1739891760,7.27,17:40:00,1739929200,17.67,10.4,1,2,9,9,5,6,,,,,,8,7.9,7.5,7,,,,
2025-02-17,7.3,5.74,5.94,4.6,,,97,94.3,92.5,88,5.9,4.9,5.1,4.3,14,6.46,7,0,,,101.96,101.45,101.49,101.02,101.72,101.21,101.25,100.78,32200,16625,17700,3200,1.9,1.6,1.6,1.4,12.1,0,0.9,0,0,4.2,4.2,0,,7:18:00,1739805480,7.3,17:38:00,1739842680,17.63,10.33,1,1,8,8,4,4,,,,,,8,7.9,7.5,7,,,,
2025-02-16,5.4,4.47,4.3,3.2,,,97,96.5,95,93,4.6,4,3.7,2.8,16,8.79,10.5,5,31,4,101.39,101.17,101.19,101,101.15,100.93,100.96,100.76,16100,9695.8,9250,2400,2.2,1.8,1.9,1.6,13.7,0,0,0,0,10.7,10.7,0,,7:19:00,1739719140,7.32,17:37:00,1739756220,17.62,10.3,,,8,8,5,5,,,,,,8,7.8,7,6,,,,
2025-02-15,5.9,3.87,2.05,-1.8,,,96,88.5,87.5,79,3.6,2.1,1.6,-0.5,24,13.46,12,0,37,5,102.68,102.26,102.06,101.45,102.44,102.02,101.83,101.21,48300,30183.3,29800,11300,2.9,2.2,2.4,1.8,15.9,0,0,0,0,4.1,4.1,0,,7:21:00,1739632860,7.35,17:35:00,1739669700,17.58,10.23,1,1,6,6,4,5,,,,,,8,8,8,8,,,,
2025-02-14,8.6,2.41,2.9,-2.8,,-5,91,71.3,70,49,0,-2.5,-2.5,-5.1,18,9.29,9,0,,,102.56,101.47,101.39,100.22,102.32,101.23,101.15,99.98,48300,47629.2,40250,32200,2.9,2.5,2.6,2.3,15.1,0,0,0,0,0,0,0,0,7:23:00,1739546580,7.38,17:33:00,1739583180,17.55,10.17,1,1,7,7,0,0,,,,,,8,4.7,4.5,1,,,,
2025-02-13,5,0.28,0.04,-4.9,,-9,90,69.1,65.5,41,-2.6,-5.2,-5.8,-9.1,22,11.17,13,4,33,6,100.57,99.91,100.1,99.62,100.33,99.67,99.86,99.38,48300,48300,48300,48300,2.5,2.3,2.4,2.2,18,0,0,0,0,0,0,0,,7:24:00,1739460240,7.4,17:32:00,1739496720,17.53,10.13,1,1,4,4,0,0,,,,,,8,6.4,5.5,3,,,,
2025-02-12,3.3,-1.67,-1.25,-5.8,,-9,87,72,68.5,50,-4.4,-6.3,-5.9,-7.4,13,8.21,6.5,0,,,102.18,101.5,101.4,100.63,101.94,101.26,101.17,100.39,48300,48300,48300,48300,3.1,2.2,2,1,19.2,0,0,0,0,0,0,0,1,7:26:00,1739373960,7.43,17:30:00,1739410200,17.5,10.07,1,1,2,3,-5,-4,,,,,,7,2,3.5,0,,,,
2025-02-11,2.6,-1.79,-1.74,-6.1,,-9,85,62.6,59.5,34,-5.4,-8.4,-10.2,-15,35,9.67,17.5,0,45,5,103.16,102.67,102.68,102.2,102.92,102.43,102.44,101.96,48300,44275,40250,32200,3.5,2.4,2.8,2.1,19.7,0,0,0,0,0,0,0,2,7:28:00,1739287680,7.47,17:29:00,1739323740,17.48,10.02,1,1,1,1,-5,-5,,,,,,3,0.8,1.5,0,,,,
2025-02-10,2,0.25,-0.6,-3.2,,-7,81,48.7,57.5,34,-3.4,-9.8,-9.2,-14.9,30,18.17,15,0,41,5,103.45,103.31,103.32,103.2,103.2,103.07,103.07,102.95,48300,44945.8,40250,32200,2.3,1.8,1.6,1,18.6,0,0,0,0,0,0,0,0,7:29:00,1739201340,7.48,17:27:00,1739237220,17.45,9.97,1,1,2,2,-4,-4,,,,,,8,2.9,4,0,,,,
2025-02-09,3.8,0.92,0.64,-2.5,,-6,90,76.8,77.5,65,-1.2,-2.7,-2.5,-3.7,18,8.96,10.5,3,,,103.44,103.33,103.34,103.23,103.2,103.09,103.09,102.99,48300,43604.2,40250,32200,,,,,17.4,0,0,0,0,0,0,0,2,7:31:00,1739115060,7.52,17:25:00,1739150700,17.42,9.9,1,1,3,3,-3,-3,,,,,,8,5.7,4.5,1,,,,
2025-02-08,3.6,1.5,1.4,-0.8,,-3,92,84.8,81,70,-0.2,-0.8,-1.2,-2.1,14,7.38,7,0,,,103.21,102.82,102.86,102.52,102.97,102.58,102.62,102.28,48300,40920.8,40250,32200,,,,,16.6,0,0,0,0,0,0,0,4,7:32:00,1739028720,7.53,17:24:00,1739064240,17.4,9.87,1,1,4,4,-2,-1,,,,,,8,7.3,6.5,5,,,,
