parameter_type,parameter_value,validation_loss
units,8,0.0013504348462447524
units,16,0.00024531997041776776
units,32,0.000239319953834638
units,64,0.00015858215920161456
units,96,7.1116846811492e-05
units,128,6.298347580013797e-05
units,160,0.00021337834186851978
units,192,7.411388651235029e-05
units,224,9.160115587292239e-05
units,256,5.869623782928102e-05
learning_rate,1e-05,0.0057492670603096485
learning_rate,5e-05,0.0032823223154991865
learning_rate,0.0001,0.0018066210905089974
learning_rate,0.0005,0.0001326624333159998
learning_rate,0.001,0.00011429750884417444
learning_rate,0.002,9.409181075170636e-05
learning_rate,0.005,0.000239894405240193
learning_rate,0.01,0.0009245614637620747
dropout_rate,0.0,3.366939927218482e-05
dropout_rate,0.1,7.78732355684042e-05
dropout_rate,0.2,0.00014051180914975703
dropout_rate,0.3,0.00012052145029883832
dropout_rate,0.4,0.00018137827282771468
dropout_rate,0.5,0.00030148396035656333
dropout_rate,0.6,0.000795337138697505
dropout_rate,0.7,0.0007741842418909073
