Iteration,units,activation,epochs,dropout_rate,learning_rate,val_loss,timestamp
1,105,tanh,16,0.33874006317859484,0.0007792297153882995,0.0006861119375874599,2025-04-01 14:15:36
2,27,relu,9,0.15714672716877634,0.0020034427927560746,0.003932174838458498,2025-04-01 14:17:14
3,22,sigmoid,19,0.10031150633640573,0.009647685075720105,0.0028463040944188833,2025-04-01 14:20:15
4,85,relu,3,0.10922497001656631,0.0011208547084229365,0.0045515781578918295,2025-04-01 14:21:27
5,61,tanh,20,0.19310853617212173,0.00015177941306507493,0.0014369383182687063,2025-04-01 14:27:13
6,85,relu,20,0.286705157299192,0.005246634533625288,0.002086809816925476,2025-04-01 14:34:02
7,92,relu,3,0.4768807022739412,0.0013383707472536775,0.005261031600336234,2025-04-01 14:35:12
8,59,tanh,7,0.19641018641040472,0.0023255572624036797,0.0018371482728980482,2025-04-01 14:37:03
9,84,sigmoid,6,0.25642424302929634,0.00023145798905204883,0.004417301621288061,2025-04-01 14:38:33
10,101,relu,7,0.3270801311279966,0.00011551186209730989,0.0055720436697204905,2025-04-01 14:39:54
11,45,tanh,4,0.4985366741533481,0.00011200305584868474,0.006693217437714338,2025-04-01 14:40:33
12,118,tanh,17,0.497480658140805,0.009119294405599629,0.01739439895997445,2025-04-01 14:44:07
13,121,tanh,5,0.1625906419931516,0.0007483988319166146,0.002559144515544176,2025-04-01 14:45:21
14,117,tanh,14,0.33472967672731324,0.00010079004674117417,0.0027583478561912975,2025-04-01 14:50:24
15,27,sigmoid,10,0.1,0.0001,0.004466389616330464,2025-04-01 14:53:52
16,98,tanh,19,0.1029669260008562,0.00978699843439118,0.010013332590460777,2025-04-01 15:17:56
17,26,tanh,20,0.1,0.0011151996473737261,0.0002837063705859085,2025-04-01 15:28:27
18,71,relu,3,0.5,0.01,0.0053207251864175005,2025-04-01 15:30:38
19,66,sigmoid,20,0.1,0.0007419834468591816,0.0018191752800097067,2025-04-01 15:47:22
20,115,tanh,20,0.5,0.0002973239277834027,0.00104398129042238,2025-04-01 16:04:49
