window_size,num_layers,units,learning_rate,dropout,l2_reg,batch_size,avg_val_mae
41,1,103,0.001562069367563987,0.22291637642679563,9.997491581800291e-05,38,0.05799221061170101
24,1,89,0.00012966511753760403,0.3609993861334124,0.0009385527090157505,16,0.050092666720350586
48,2,85,0.0001033076804324041,0.01153121252070788,0.0005247746602583893,35,0.050182037676374115
14,3,42,0.00015177941306507493,0.3091930046665437,0.00038246199126716287,63,0.05288111791014671
29,3,92,0.0007961566078062951,0.006632480579933266,0.000942201755684853,43,0.051629689832528435
26,1,42,0.00030342470058112886,0.34163175941272916,0.000609996657782621,56,0.054386345048745476
18,2,36,0.0032413268041956303,0.2125779372456224,0.0002079416628681889,43,0.05153987184166908
13,3,66,0.0006170217483403156,0.4633294328968972,0.000727271995856421,32,0.05397948622703552
33,2,124,0.0048872853588355775,0.3736600550686905,0.0005396921323890799,44,0.0587900144358476
47,2,47,0.00039133348581043724,0.08263346953150126,1.5636406741193936e-05,36,0.046939916908741
46,3,24,0.00010989227830811977,0.0,0.0005711158016642164,19,0.04872234041492144
14,1,16,0.005220242014926745,0.0,0.00023790246890324947,58,0.05489589832723141
35,3,16,0.0007176332551831573,0.3276984646817483,0.0009237846998878521,17,0.05253197128574053
38,3,76,0.0077903287014878765,0.014336084724985324,0.0008752522146041251,16,0.08244586984316508
48,1,16,0.0018917365928706393,0.5,0.0007624292681506946,16,0.05430352749923865
27,3,109,0.0001,0.05877171655660843,0.0,51,0.04776083864271641
48,1,128,0.00021183643871383224,0.06804991644445298,0.0,16,0.048985845719774566
14,2,24,0.0011042582569709873,0.26094485086925573,1.9178658488840737e-05,63,0.04990902294715246
14,2,113,0.000212657846154293,0.30906629230197863,0.00023759453598398375,60,0.0543165939549605
12,1,33,0.01,0.5,4.51363173436111e-05,52,0.060857326413194336
